Score,Level,Mean1,SD1,Mean2,SD2,Mean3,SD3
Composure,4,0.7898,0.84071,0.904221956,0.653834612,0.9218,0.6442
Composure,5,0.6988,0.85208,NA,NA,0.8688,0.6754
Composure,6,0.6988,0.85208,NA,NA,0.8354,0.6829
Composure,7,0.4454,0.86031,NA,NA,0.7856,0.7108
Composure,8,0.4454,0.86031,NA,NA,0.7856,0.7108
Composure,9,0.269,0.93514,NA,NA,0.7248,0.7310
Confidence,1,0.852718696,0.634299443,1.038285187,0.496617367,1.0285,0.4973
Confidence,2,0.852718696,0.634299443,1.038285187,0.496617367,1.0285,0.4973
Confidence,3,NA,NA,NA,NA,1.0352,0.5239
Confidence,4,0.836227213,0.700604353,0.987663245,0.525194279,1.0003,0.5396
Confidence,5,NA,NA,NA,NA,0.9683,0.5395
Confidence,6,NA,NA,NA,NA,0.9072,0.5684
Confidence,7,NA,NA,NA,NA,0.8145,0.6124
Confidence,8,NA,NA,NA,NA,0.8145,0.6124
Confidence,9,NA,NA,NA,NA,0.8115,0.6193
core,1,22.2406,9.19498,22.02857143,10.66844321,22.2094,10.6937
core,2,22.2406,9.19498,22.02857143,10.66844321,22.2094,10.6937
core,3,22.2406,9.19498,17.98681733,9.067125554,17.6583,9.0744
core,4,16.2675,7.34105,15.12626775,7.940339415,14.9442,7.6624
core,5,11.483,5.29731,12.27276826,5.92830322,11.6565,5.9636
core,6,11.483,5.29731,8.83971414,5.336848902,8.3991,4.7679
core,7,5.2892,3.62326,4.803598201,3.912404254,4.6860,3.6652
core,8,5.2892,3.62326,4.803598201,3.912404254,4.6860,3.6652
core,9,4.875,6.34464,1.262939959,0.997514156,1.2570,0.9967
Credible,1,0.712384568,0.692652749,0.960442427,0.586976014,0.9278,0.5872
Credible,2,0.712384568,0.692652749,0.960442427,0.586976014,0.9278,0.5872
Credible,3,NA,NA,NA,NA,0.8983,0.5905
Credible,4,0.684245973,0.714322648,0.880195863,0.617670785,0.8660,0.6091
Credible,5,NA,NA,NA,NA,0.8478,0.6088
Credible,6,NA,NA,NA,NA,0.8144,0.6167
Credible,7,NA,NA,NA,NA,0.7531,0.6613
Credible,8,NA,NA,NA,NA,0.7531,0.6613
Credible,9,NA,NA,NA,NA,0.7055,0.6744
Curiosity,1,0.701950626,0.690430717,0.907148593,0.5592607,0.9084,0.5492
Curiosity,2,0.701950626,0.690430717,0.907148593,0.5592607,0.9084,0.5492
Curiosity,3,NA,NA,NA,NA,0.8810,0.5741
Curiosity,4,0.577678699,0.689420238,0.910901643,0.581043766,0.8600,0.5892
Curiosity,5,NA,NA,NA,NA,0.8426,0.6142
